"Date(UTC)","BlockNumber","UnixTimeStamp","Value","ClientVersion"
"4/27/2019","7646173","1556323776","2579764116998","1.8.27"
"4/28/2019","7652637","1556410193","2584262351479","1.8.27"
"4/29/2019","7659025","1556496577","2588774054684","1.8.27"
"4/30/2019","7665482","1556582976","2593427242714","1.8.27"
"5/1/2019","7671906","1556669402","2597741240449","1.8.27"
"5/2/2019","7678364","1556755787","2602356559850","1.8.27"
"5/3/2019","7684789","1556842158","2607122865852","1.8.27"
"5/4/2019","7691148","1556928715","2610002514230","1.8.27"
"5/5/2019","7697825","1557017171","2616812229141","1.8.27"
"5/6/2019","7704050","1557101377","2619160065996","1.8.27"
"5/7/2019","7710407","1557187762","2625915308377","1.8.27"
"5/8/2019","7716799","1557274171","2630112538416","1.8.27"
"5/9/2019","7723150","1557360607","2634575446175","1.8.27"
"5/10/2019","7729500","1557446928","2639065540377","1.8.27"
"5/11/2019","7735942","1557533408","2645376537526","1.8.27"
"5/12/2019","7742341","1557619798","2649569060247","1.8.27"
"5/13/2019","7748797","1557706190","2655453362250","1.8.27"
"5/14/2019","7755358","1557795581","2661066207222","1.8.27"
"5/15/2019","7761626","1557878947","2665809567258","1.8.27"
"5/16/2019","7768084","1557965359","2670297716226","1.8.27"
"5/17/2019","7774434","1558051886","2676901312757","1.8.27"
"5/18/2019","7780871","1558138204","2683211881023","1.8.27"
"5/19/2019","7787274","1558224585","2687546937551","1.8.27"
"5/20/2019","7793661","1558311006","2692043539780","1.8.27"
"5/21/2019","7800002","1558397362","2698782203401","1.8.27"
"5/22/2019","7806340","1558483805","2704305256720","1.8.27"
"5/23/2019","7812739","1558570186","2708773273489","1.8.27"
"5/24/2019","7819073","1558656561","2715333161919","1.8.27"
"5/25/2019","7825468","1558742984","2721443769014","1.8.27"
"5/26/2019","7831955","1558828903","2725944115706","1.8.27"
"5/27/2019","7838424","1558915812","2731180375057","1.8.27"
"5/28/2019","7844818","1559002196","2735936443624","1.8.27"
"5/28/2019","7851070","1559087377","2741519902240","1.8.27"
"5/30/2019","7857692","1559174996","2747067897583","1.8.27"
"5/31/2019","7864003","1559261436","2753820015746","1.8.27"
"6/1/2019","7870463","1559347785","2759652573998","1.8.27"
"6/2/2019","7876839","1559434187","2764538091783","1.8.27"
"6/3/2019","7883222","1559520597","2769950592851","1.8.27"
"6/4/2019","7889538","1559606904","2775110906051","1.8.27"
"6/4/2019","7895834","1559691720","2781646743020","1.8.27"
"6/6/2019","7902349","1559779793","2786676543319","1.8.27"
"6/7/2019","7908791","1559866188","2791730055154","1.8.27"
"6/8/2019","7915143","1559952609","2796244756304","1.8.27"
"6/9/2019","7921483","1560038974","2802935480662","1.8.27"
"6/10/2019","7927840","1560125402","2807641539129","1.8.27"
"6/11/2019","7934308","1560211804","2812800654104","1.8.27"
"6/11/2019","7940550","1560296477","2819457555535","1.8.27"
"6/13/2019","7947059","1560384553","2824640255629","1.8.27"
"6/14/2019","7953466","1560470967","2829637242867","1.8.27"
"6/15/2019","7959879","1560557352","2833798333492","1.8.27"
"6/16/2019","7966242","1560643782","2840177045150","1.8.27"
"6/17/2019","7972678","1560730192","2845222749613","1.8.27"
"6/18/2019","7979059","1560816594","2852179822250","1.8.27"
"6/19/2019","7985433","1560902971","2857289514526","1.8.27"
"6/20/2019","7991836","1560989401","2862371193276","1.8.27"
"6/21/2019","7998236","1561076089","2869218584597","1.8.27"
"6/22/2019","8004556","1561162171","2873180918975","1.8.27"
"6/23/2019","8011034","1561248594","2878300992493","1.8.27"
"6/24/2019","8017414","1561334982","2883334625292","1.8.27"
"6/25/2019","8023862","1561421389","2890077880990","1.8.27"
"6/26/2019","8030279","1561507795","2895557470421","1.8.27"
"6/27/2019","8036687","1561593929","2901137504156","1.8.27"
"6/27/2019","8042931","1561678568","2906329233140","1.8.27"
"6/29/2019","8049468","1561766858","2911876437688","1.8.27"
"6/30/2019","8055908","1561853382","2916666308089","1.8.27"
"7/1/2019","8062323","1561939626","2920672184164","1.8.27"
"7/1/2019","8068726","1562025575","2927480569205","1.8.27"
"7/2/2019","8074965","1562109791","2932505242226","1.8.27"
"7/3/2019","8081084","1562192648","2937571122991","1.8.27"
"7/5/2019","8087987","1562285387","2942679814677","1.8.27"
"7/6/2019","8094372","1562371783","2947047391552","1.8.27"
"7/7/2019","8100834","1562458166","2952159559794","1.8.27"
"7/8/2019","8107330","1562544584","2956994902158","1.8.27"
"7/9/2019","8113762","1562630980","2961944244658","1.8.27"
"7/10/2019","8120194","1562717402","2968044959692","1.8.27"
"7/11/2019","8126602","1562803794","2973131654100","1.8.27"
"7/12/2019","8133036","1562890240","3108835479318","1.9.0"
"7/13/2019","8139388","1562976665","3112964066470","1.9.0"
"7/14/2019","8145818","1563062997","3116695533599","1.9.0"
"7/15/2019","8152346","1563149446","3122309759804","1.9.0"
"7/16/2019","8158686","1563235835","3127888871917","1.9.0"
"7/17/2019","8165007","1563322215","3135334115396","1.9.0"
"7/18/2019","8171381","1563408641","3140404556273","1.9.0"
"7/19/2019","8177862","1563494986","3145787811483","1.9.0"
"7/20/2019","8184297","1563582632","3144206838228","1.9.0"
"7/21/2019","8190726","1563667889","3147936775224","1.9.0"
"7/21/2019","8196920","1563751366","3151814005767","1.9.0"
"7/23/2019","8203615","1563840666","3156285735025","1.9.0"
"7/24/2019","8210153","1563927728","3160527253635","1.9.0"
"7/25/2019","8216535","1564013469","3167129321599","1.9.0"
"7/26/2019","8222885","1564099832","3172647961176","1.9.0"
"7/27/2019","8229326","1564186216","3177711409468","1.9.0"
"7/28/2019","8235821","1564272744","3181548758385","1.9.0"
"7/29/2019","8242277","1564359048","3187189369689","1.9.0"
"7/30/2019","8248615","1564444972","3191016168973","1.9.0"
"7/31/2019","8255144","1564531855","3196259079161","1.9.0"
"8/1/2019","8261566","1564618226","3201780773714","1.9.0"
"8/2/2019","8267908","1564704665","3207281423100","1.9.0"
"8/3/2019","8274404","1564790989","3211279874802","1.9.0"
"8/4/2019","8280876","1564877419","3216698929039","1.9.0"
"8/5/2019","8287321","1564963910","3222132129629","1.9.0"
"8/6/2019","8293772","1565050174","3225928925326","1.9.0"
"8/7/2019","8300205","1565136667","3231353263960","1.9.0"
"8/7/2019","8306258","1565217209","3235322662548","1.9.0"
"8/8/2019","8312781","1565305236","3239155250133","1.9.0"
"8/10/2019","8319495","1565395784","3242902887880","1.9.0"
"8/11/2019","8325995","1565482202","3246611599365","1.9.0"
"8/12/2019","8332428","1565568657","3214021693938","1.9.0"
"8/13/2019","8338898","1565655035","3188176029482","1.9.0"
"8/14/2019","8345331","1565741426","3193584944687","1.9.0"
"8/15/2019","8351782","1565827768","3199116687263","1.9.0"
"8/16/2019","8358252","1565914881","3202752102638","1.9.0"
"8/16/2019","8364569","1565999497","3208054121942","1.9.0"
"8/18/2019","8371128","1566086975","3211358492229","1.9.2"
"8/19/2019","8377568","1566173397","3215904645190","1.9.2"
"8/20/2019","8383942","1566259820","3220720273576","1.9.2"
"8/21/2019","8390374","1566346192","3225400708632","1.9.2"
"8/22/2019","8396818","1566432559","3230215654401","1.9.2"
"8/23/2019","8403226","1566519036","3235131847619","1.9.2"
"8/24/2019","8409698","1566605395","3239854787709","1.9.2"
"8/25/2019","8416002","1566691819","3244709204238","1.9.2"
"8/26/2019","8422589","1566778173","3249594198886","1.9.2"
"8/27/2019","8428945","1566864633","3254465059386","1.9.2"
"8/28/2019","8435344","1566950992","3258991772312","1.9.2"
"8/29/2019","8441771","1567037395","3263993909397","1.9.2"
"8/30/2019","8448248","1567123810","3268523526413","1.9.2"
"8/31/2019","8454677","1567210147","3272378984954","1.9.2"
"9/1/2019","8461093","1567296595","3277124349327","1.9.2"
"9/2/2019","8467494","1567383011","3282057971933","1.9.2"
"9/3/2019","8473919","1567469381","3286685507239","1.9.2"
"9/4/2019","8480317","1567555794","3291548835105","1.9.2"
"9/5/2019","8486710","1567642191","3296425894685","1.9.2"
"9/6/2019","8493176","1567728604","3301275557169","1.9.2"
"9/7/2019","8499554","1567814997","3304062949331","1.9.2"
"9/8/2019","8505972","1567901383","3308758372787","1.9.2"
"9/9/2019","8512370","1567987760","3313467817970","1.9.2"
"9/10/2019","8518815","1568074202","3318310996054","1.9.2"
"9/11/2019","8525205","1568160579","3323179037356","1.9.2"
"9/12/2019","8531635","1568246936","3327982719947","1.9.2"
"9/13/2019","8538074","1568333398","3332817788220","1.9.2"
"9/14/2019","8544386","1568419776","3337801214573","1.9.3"
"9/15/2019","8550817","1568506131","3342562210789","1.9.3"
"9/16/2019","8557209","1568592625","3347552606346","1.9.3"
"9/17/2019","8563661","1568678983","3349154668227","1.9.3"
"9/18/2019","8570101","1568765400","3353670952081","1.9.3"
"9/19/2019","8576568","1568851798","3358519929359","1.9.3"
"9/20/2019","8582895","1568938176","3363424161838","1.9.3"
"9/21/2019","8589345","1569024583","3368019822130","1.9.3"
"9/22/2019","8595746","1569111002","3372912784802","1.9.3"
"9/23/2019","8602126","1569197389","3379166458480","1.9.3"
"9/24/2019","8608559","1569283745","3384037422756","1.9.3"
"9/25/2019","8614851","1569370162","3388855050719","1.9.3"
"9/26/2019","8621229","1569456580","3396158580153","1.9.3"
"9/27/2019","8627637","1569542993","3396607988861","1.9.3"
"9/28/2019","8633981","1569629372","3402647874153","1.9.3"
"9/29/2019","8640418","1569715798","3407538939699","1.9.3"
"9/30/2019","8646826","1569802207","3411643145073","1.9.3"
"10/1/2019","8653218","1569888593","3416501183411","1.9.3"
"10/2/2019","8659640","1569974988","3423911465218","1.9.3"
"10/3/2019","8665984","1570061436","3428265611230","1.9.3"
"10/4/2019","8672386","1570147826","3432932561263","1.9.3"
"10/5/2019","8678820","1570234198","3434157523882","1.9.5"
"10/6/2019","8685252","1570320613","3438930324905","1.9.5"
"10/7/2019","8691703","1570407017","3443839246578","1.9.5"
"10/8/2019","8698042","1570492961","3447754497903","1.9.5"
"10/9/2019","8704421","1570579780","3452602815866","1.9.5"
"10/10/2019","8710774","1570666129","3459960269201","1.9.5"
"10/11/2019","8717132","1570752594","3464702922037","1.9.5"
"10/12/2019","8723494","1570839002","3469530306962","1.9.5"
"10/13/2019","8729829","1570925422","3472463003356","1.9.5"
"10/14/2019","8736200","1571011794","3477327750480","1.9.5"
"10/15/2019","8742593","1571098244","3482630701848","1.9.5"
"10/16/2019","8749005","1571184588","3486670692913","1.9.5"
"10/17/2019","8755341","1571270994","3482642759718","1.9.5"
"10/18/2019","8761632","1571357398","3486998530182","1.9.5"
"10/19/2019","8767980","1571443772","3491678505952","1.9.5"
"10/20/2019","8774313","1571530173","3496417002892","1.9.5"
"10/21/2019","8780698","1571616619","3501183888722","1.9.5"
"10/22/2019","8786975","1571703020","3505965257818","1.9.5"
"10/23/2019","8793395","1571789409","3510059932774","1.9.5"
"10/24/2019","8799780","1571875835","3514369118191","1.9.5"
"10/25/2019","8806024","1571962233","3519509981367","1.9.5"
"10/26/2019","8812167","1572048586","3522938644016","1.9.5"
"10/27/2019","8818434","1572134991","3533908958605","1.9.6"
"10/28/2019","8824615","1572221380","3539001279972","1.9.6"
"10/29/2019","8830867","1572307841","3543405105230","1.9.6"
"10/30/2019","8837052","1572394192","3548053735020","1.9.6"
"10/31/2019","8843296","1572480584","3554645824148","1.9.6"
"11/1/2019","8849524","1572566949","3559733108660","1.9.6"
"11/2/2019","8855776","1572653369","3563293943890","1.9.6"
"11/3/2019","8861965","1572739724","3568332723784","1.9.6"
"11/4/2019","8868213","1572826155","3572499324128","1.9.6"
"11/5/2019","8874422","1572912555","3577480715021","1.9.6"
"11/6/2019","8880645","1572998991","3581843021781","1.9.6"
"11/7/2019","8886854","1573085385","3586959881077","1.9.6"
"11/8/2019","8893027","1573171805","3589356293301","1.9.6"
"11/9/2019","8899221","1573258169","3594243672672","1.9.6"
"11/10/2019","8905340","1573344588","3599247882218","1.9.6"
"11/11/2019","8911341","1573430984","3595777254890","1.9.6"
"11/12/2019","8917320","1573517364","3600821819274","1.9.6"
"11/13/2019","8923364","1573603789","3607699062792","1.9.6"
"11/14/2019","8929359","1573690191","3612789394818","1.9.6"
"11/15/2019","8935387","1573776595","3615776883687","1.9.7"
"11/16/2019","8941376","1573862962","3621202870002","1.9.7"
"11/17/2019","8947399","1573949401","3626192963117","1.9.7"
"11/17/2019","8953254","1574033520","3630221536717","1.9.7"
"11/19/2019","8959400","1574122178","3634897792208","1.9.7"
"11/20/2019","8965312","1574208576","3639375971114","1.9.7"
"11/21/2019","8971288","1574294984","3644486161341","1.9.7"
"11/22/2019","8977356","1574381396","3649739826992","1.9.7"
"11/23/2019","8983331","1574467790","3653952833643","1.9.7"
"11/24/2019","8989370","1574554187","3659215683087","1.9.7"
"11/25/2019","8995387","1574640574","3665214905688","1.9.7"
"11/26/2019","9001289","1574727001","3670260278500","1.9.7"
"11/27/2019","9006950","1574813403","3674300911498","1.9.7"
"11/28/2019","9012597","1574899793","3681467826482","1.9.7"
"11/29/2019","9018227","1574986200","3685501388853","1.9.7"
"11/30/2019","9023845","1575072593","3688497621518","1.9.7"
"12/1/2019","9029546","1575158988","3692703041372","1.9.7"
"12/2/2019","9035143","1575245386","3697293948238","1.9.7"
"12/3/2019","9040816","1575331792","3702418181758","1.9.7"
"12/4/2019","9046460","1575418201","3706995600968","1.9.7"
"12/5/2019","9052024","1575504568","3712096488472","1.9.7"
"12/6/2019","9057650","1575591011","3715009586761","1.9.7"
"12/7/2019","9063264","1575677379","3727432281303","1.9.8"
"12/8/2019","9068923","1575763776","3724430716513","1.9.8"
"12/9/2019","9074540","1575850169","3728397712035","1.9.8"
"12/10/2019","9080186","1575936597","3730011459500","1.9.8"
"12/11/2019","9085888","1576022969","3739148858601","1.9.8"
"12/12/2019","9091464","1576109330","3739779292015","1.9.8"
"12/13/2019","9097171","1576195771","3745081835946","1.9.8"
"12/14/2019","9102654","1576282182","3749921149826","1.9.8"
"12/15/2019","9107778","1576368577","3755078990855","1.9.8"
"12/16/2019","9112905","1576454922","3759846560022","1.9.8"
"12/17/2019","9118002","1576541393","3764785023420","1.9.8"
"12/18/2019","9123043","1576627778","3766830257583","1.9.9"
"12/19/2019","9128043","1576714173","3771914632435","1.9.9"
"12/20/2019","9133057","1576800592","3776863449877","1.9.9"
"12/21/2019","9138038","1576886936","3779652921554","1.9.9"
"12/22/2019","9143116","1576973341","3785897301608","1.9.9"
"12/23/2019","9148104","1577059775","3790873102644","1.9.9"
"12/24/2019","9153115","1577146152","3795579205860","1.9.9"
"12/25/2019","9158187","1577232561","3797575067285","1.9.9"
"12/26/2019","9163180","1577318955","3800180961410","1.9.9"
"12/27/2019","9168156","1577405374","3806043030900","1.9.9"
"12/28/2019","9173186","1577491799","3809215646886","1.9.9"
"12/29/2019","9178255","1577578179","3811999988838","1.9.9"
"12/30/2019","9183294","1577664581","3814624364236","1.9.9"
"12/31/2019","9188308","1577750980","3819207503514","1.9.9"
"1/1/2020","9193298","1577837353","3824189118516","1.9.9"
"1/2/2020","9198286","1577923760","3826799066606","1.9.9"
"1/3/2020","9203965","1578010175","3830060761920","1.9.9"
"1/4/2020","9210487","1578096595","3833062088552","1.9.9"
"1/5/2020","9217065","1578182993","3837923399980","1.9.9"
"1/6/2020","9223546","1578269390","3843234297334","1.9.9"
"1/7/2020","9230133","1578355797","3848263684835","1.9.9"
"1/8/2020","9236669","1578442185","3850907964344","1.9.9"
"1/9/2020","9243166","1578528615","3857859072644","1.9.9"
"1/10/2020","9249692","1578614985","3860520198818","1.9.9"
"1/11/2020","9256250","1578701379","3866974617269","1.9.9"
"1/12/2020","9262783","1578787790","3869788614770","1.9.9"
"1/13/2020","9269295","1578874199","3874765492318","1.9.9"
"1/14/2020","9275830","1578960583","3879317958234","1.9.9"
"1/15/2020","9282353","1579046959","3884350031834","1.9.9"
"1/16/2020","9289549","1579142660","3888844008931","1.9.9"
"1/17/2020","9295368","1579219762","3893929465855","1.9.9"
"1/18/2020","9301905","1579305959","3900487643992","1.9.9"
"1/19/2020","9308443","1579392588","3901602892945","1.9.9"
"1/20/2020","9315018","1579478984","3906925911856","1.9.9"
"1/21/2020","9321527","1579565398","3911977702190","1.9.9"
"1/22/2020","9328089","1579651755","3916698463707","1.9.9"
